epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9183.34,0.97706,0.88208,1.19525,0.93758,0.84046,0.90397,0.68991,0.95061,0.59259,1.16396,0.000990365,0.000990365,0.000990365
43,9276.52,0.97348,0.86654,1.18776,0.89424,0.81267,0.83989,0.64076,0.98255,0.73489,1.23686,0.000973861,0.000973861,0.000973861
44,9367.49,0.97288,0.89038,1.2123,0.92722,0.81686,0.90663,0.67657,1.00446,0.66691,1.18881,0.000957358,0.000957358,0.000957358
45,9459.93,0.95178,0.84494,1.19523,0.95111,0.81048,0.88792,0.6837,0.94673,0.5907,1.19089,0.000940855,0.000940855,0.000940855
46,9552.58,1.01998,0.86345,1.23572,0.92483,0.83918,0.87475,0.66165,0.97027,0.79846,1.19916,0.000924352,0.000924352,0.000924352
47,9643.9,1.00903,0.88404,1.21405,0.95117,0.83918,0.84952,0.6732,0.92367,0.75927,1.14999,0.000907848,0.000907848,0.000907848
48,9734.22,0.97903,0.87087,1.2086,0.94519,0.83918,0.88801,0.67233,1.00535,0.63375,1.20769,0.000891345,0.000891345,0.000891345
49,9825.71,0.95957,0.88717,1.1935,0.94018,0.86405,0.90452,0.70768,0.91818,0.60528,1.13227,0.000874842,0.000874842,0.000874842
50,9916.93,0.92986,0.79453,1.15588,0.94395,0.88542,0.91889,0.69756,0.92534,0.56172,1.11588,0.000858338,0.000858338,0.000858338
51,10009.6,0.9378,0.81993,1.17471,0.96287,0.88523,0.92679,0.7053,0.92851,0.53582,1.12321,0.000841835,0.000841835,0.000841835
52,10101.9,0.91218,0.81569,1.16885,0.96235,0.81036,0.90419,0.70965,0.90235,0.60416,1.12934,0.000825332,0.000825332,0.000825332
53,10194,0.90366,0.80381,1.14609,0.9276,0.83146,0.92157,0.69552,0.95303,0.58038,1.18001,0.000808828,0.000808828,0.000808828
54,10287.1,0.98583,0.86817,1.22627,0.96459,0.85903,0.88406,0.69,0.95694,0.596,1.14989,0.000792325,0.000792325,0.000792325
55,10377.9,0.95968,0.83644,1.17679,0.92972,0.86462,0.90924,0.68959,0.99501,0.57217,1.21345,0.000775822,0.000775822,0.000775822
56,10467.8,0.92553,0.79802,1.17048,0.96953,0.87718,0.91577,0.68648,0.94247,0.54724,1.15911,0.000759318,0.000759318,0.000759318
57,10560.9,0.93675,0.8128,1.14786,0.91228,0.83918,0.89907,0.69163,0.89421,0.57031,1.13591,0.000742815,0.000742815,0.000742815
58,10652.9,0.88059,0.72475,1.12248,0.89092,0.86035,0.91857,0.6961,0.97018,0.56214,1.19802,0.000726312,0.000726312,0.000726312
59,10744.7,0.90323,0.72926,1.14305,0.94259,0.87725,0.93152,0.69878,0.99134,0.56137,1.17933,0.000709809,0.000709809,0.000709809
60,10836.7,0.93339,0.74329,1.16692,0.96644,0.82812,0.91723,0.68937,0.99774,0.55394,1.22691,0.000693305,0.000693305,0.000693305
61,10929.1,0.90222,0.7652,1.1576,0.90985,0.8655,0.91667,0.71354,0.90419,0.53764,1.11845,0.000676802,0.000676802,0.000676802
62,11020.6,0.91756,0.73359,1.14164,0.93908,0.85153,0.89345,0.68451,0.91129,0.60206,1.12857,0.000660299,0.000660299,0.000660299
63,11118.1,0.90303,0.72301,1.14505,0.94948,0.83847,0.9185,0.69124,0.93606,0.57645,1.14021,0.000643795,0.000643795,0.000643795
64,15337.7,0.88892,0.73237,1.15151,0.93356,0.86671,0.91875,0.69014,0.95772,0.56043,1.16987,0.000627292,0.000627292,0.000627292
65,15428.7,0.92638,0.7741,1.16854,0.9387,0.8655,0.91422,0.71386,0.91453,0.56785,1.112,0.000610789,0.000610789,0.000610789
66,15519.7,0.89861,0.7579,1.15178,0.94879,0.83817,0.90652,0.7082,0.92063,0.51111,1.13848,0.000594286,0.000594286,0.000594286
67,15610.6,0.93025,0.7718,1.15215,0.94083,0.84973,0.91688,0.72496,0.94713,0.53181,1.14646,0.000577782,0.000577782,0.000577782
68,15701.1,0.90862,0.70273,1.13433,0.90251,0.88797,0.91156,0.70643,0.94829,0.55749,1.14711,0.000561279,0.000561279,0.000561279
69,15792.1,0.8657,0.68875,1.11345,0.92865,0.81913,0.91019,0.68199,0.96282,0.53791,1.17786,0.000544776,0.000544776,0.000544776
70,15883.3,0.87314,0.69937,1.11701,0.93454,0.8655,0.91331,0.68004,0.97856,0.54864,1.20414,0.000528272,0.000528272,0.000528272
71,15973.1,0.81002,0.64656,1.08156,0.89316,0.86197,0.91281,0.68197,0.99407,0.55479,1.24242,0.000511769,0.000511769,0.000511769
72,16064.9,0.83926,0.63933,1.09032,0.97736,0.83842,0.91523,0.69901,0.96496,0.54824,1.18905,0.000495266,0.000495266,0.000495266
73,16155.8,0.81378,0.65901,1.0961,0.91251,0.86071,0.93118,0.71079,0.9483,0.52502,1.17895,0.000478762,0.000478762,0.000478762
74,16246.2,0.85384,0.67566,1.1087,0.91658,0.8632,0.94735,0.71308,0.96424,0.49422,1.17708,0.000462259,0.000462259,0.000462259
75,16336.6,0.83458,0.66268,1.11693,0.93659,0.86214,0.9313,0.71205,0.94869,0.50144,1.16675,0.000445756,0.000445756,0.000445756
76,16429.3,0.85213,0.68359,1.12205,0.92127,0.89327,0.91782,0.70447,0.89908,0.5023,1.13394,0.000429253,0.000429253,0.000429253
77,16520.3,0.81956,0.63509,1.09094,0.96245,0.89025,0.93323,0.70729,0.93654,0.49826,1.17988,0.000412749,0.000412749,0.000412749
78,16609.8,0.85816,0.68814,1.12234,0.90548,0.89327,0.91517,0.70785,0.94643,0.50512,1.16224,0.000396246,0.000396246,0.000396246
79,16702,0.83364,0.61826,1.09669,0.89765,0.89024,0.91611,0.71704,0.89447,0.47352,1.14769,0.000379743,0.000379743,0.000379743
80,16792.5,0.82458,0.62431,1.09132,0.92189,0.8655,0.93293,0.73215,0.87242,0.48244,1.1229,0.000363239,0.000363239,0.000363239
81,16883.9,0.78623,0.61007,1.05734,0.91864,0.8655,0.9523,0.72663,0.90541,0.47608,1.16078,0.000346736,0.000346736,0.000346736
82,16974.7,0.83242,0.66468,1.09501,0.91964,0.8655,0.9409,0.71186,0.91451,0.47268,1.12994,0.000330233,0.000330233,0.000330233
83,17065.7,0.8122,0.6114,1.08055,0.91997,0.8655,0.92961,0.69789,0.93918,0.49287,1.15681,0.000313729,0.000313729,0.000313729
84,17157.7,0.79242,0.59645,1.07035,0.92398,0.8655,0.92528,0.6909,0.97699,0.53185,1.19816,0.000297226,0.000297226,0.000297226
85,17249.1,0.83863,0.66712,1.09652,0.9245,0.8655,0.91403,0.69251,0.97591,0.54339,1.19694,0.000280723,0.000280723,0.000280723
86,17341,0.77701,0.57919,1.06309,0.88559,0.9139,0.93663,0.71931,0.93757,0.49921,1.17965,0.00026422,0.00026422,0.00026422
87,17432.7,0.79278,0.60521,1.08067,0.91824,0.9055,0.93357,0.72554,0.91644,0.49474,1.16042,0.000247716,0.000247716,0.000247716
88,17526.2,0.78646,0.58466,1.07724,0.92388,0.8655,0.92707,0.71944,0.97629,0.51128,1.22443,0.000231213,0.000231213,0.000231213
89,17619.2,0.80085,0.60228,1.07431,0.94677,0.8655,0.9455,0.70587,0.97212,0.49904,1.20197,0.00021471,0.00021471,0.00021471
90,17710,0.77813,0.60214,1.06071,0.91556,0.91586,0.92965,0.7235,0.92487,0.48702,1.1633,0.000198206,0.000198206,0.000198206
91,17800.1,0.74415,0.52695,1.04483,0.92518,0.86853,0.93788,0.69781,0.94537,0.48087,1.18476,0.000181703,0.000181703,0.000181703
92,17891.4,0.71069,0.49751,1.0123,0.92075,0.8655,0.93617,0.70318,0.93725,0.49947,1.15274,0.0001652,0.0001652,0.0001652
93,17981.6,0.72307,0.48016,1.01264,0.92431,0.8655,0.94901,0.70786,0.95295,0.4872,1.19059,0.000148696,0.000148696,0.000148696
94,18074.3,0.71201,0.46968,1.00651,0.91838,0.8754,0.94391,0.7068,0.96003,0.47779,1.20353,0.000132193,0.000132193,0.000132193
95,18165.7,0.71355,0.46079,1.00122,0.95027,0.8655,0.94286,0.71026,0.96013,0.48028,1.19627,0.00011569,0.00011569,0.00011569
96,18258.5,0.67567,0.43317,0.98902,0.95018,0.8655,0.95293,0.71126,0.94582,0.45922,1.17202,9.91865e-05,9.91865e-05,9.91865e-05
97,18356.1,0.66284,0.42834,0.9816,0.95445,0.8655,0.95098,0.71562,0.95081,0.47802,1.17528,8.26832e-05,8.26832e-05,8.26832e-05
98,18448.5,0.68201,0.44212,0.99734,0.95659,0.86518,0.92771,0.70342,0.94561,0.48766,1.18515,6.61799e-05,6.61799e-05,6.61799e-05
99,18539.5,0.67013,0.43421,0.99294,0.95543,0.86431,0.93055,0.70417,0.95338,0.48536,1.19075,4.96766e-05,4.96766e-05,4.96766e-05
100,18630.9,0.6566,0.42593,0.98725,0.95712,0.86352,0.9436,0.70758,0.96521,0.49628,1.19828,3.31733e-05,3.31733e-05,3.31733e-05
